Reporter,Partner,Trade Value (US$)
Poland,Afghanistan,9596572
Poland,Albania,66487707
Poland,Antarctica,499190
Poland,Algeria,376354867
Poland,American Samoa,2404
Poland,Andorra,4884650
Poland,Angola,14012019
Poland,Antigua and Barbuda,138867219
Poland,Azerbaijan,80820858
Poland,Argentina,119031488
Poland,Australia,661642277
Poland,Austria,5146367285
Poland,Bahamas,362348237
Poland,Bahrain,22315720
Poland,Bangladesh,73244423
Poland,Armenia,44600471
Poland,Barbados,3170728
Poland,Belgium,6105069123
Poland,Bermuda,854530
Poland,Bhutan,185398
Poland,Bolivia (Plurinational State of),7648253
Poland,Bosnia Herzegovina,284013728
Poland,Botswana,862931
Poland,Brazil,491194932
Poland,Belize,1210747
Poland,Solomon Isds,364
Poland,Br. Virgin Isds,1193362
Poland,Brunei Darussalam,2276680
Poland,Bulgaria,1258906902
Poland,Myanmar,64643049
Poland,Burundi,887964
Poland,Belarus,1703091968
Poland,Cambodia,11729767
Poland,Cameroon,13374682
Poland,Canada,1408281113
Poland,Cabo Verde,2875356
Poland,Cayman Isds,13491811
Poland,Central African Rep.,1085192
Poland,Sri Lanka,38134308
Poland,Chad,7468999
Poland,Chile,266159477
Poland,China,2501427073
Poland,Colombia,82746115
Poland,Comoros,1690269
Poland,Congo,25340272
Poland,Dem. Rep. of the Congo,21161547
Poland,Cook Isds,910974
Poland,Costa Rica,14360750
Poland,Croatia,995434079
Poland,Cuba,19541282
Poland,Cyprus,227318325
Poland,Czechia,16657343954
Poland,Benin,28518924
Poland,Denmark,4572938433
Poland,Dominica,1087945
Poland,Dominican Rep.,25133425
Poland,Ecuador,32273864
Poland,El Salvador,4018872
Poland,Equatorial Guinea,4842981
Poland,Ethiopia,20315798
Poland,Eritrea,860386
Poland,Estonia,1279520206
Poland,Faeroe Isds,37443300
Poland,Falkland Isds (Malvinas),117974
Poland,Fiji,1418887
Poland,Finland,2222097307
Poland,France,14518561897
Poland,French Polynesia,872947
Poland,Fr. South Antarctic Terr.,1142115
Poland,Djibouti,5708097
Poland,Gabon,14841964
Poland,Georgia,136001993
Poland,Gambia,5339401
Poland,State of Palestine,9803588
Poland,Germany,73691774699
Poland,Ghana,54657049
Poland,Gibraltar,31877558
Poland,Greece,1026775049
Poland,Greenland,2470328
Poland,Grenada,13214
Poland,Guam,113873
Poland,Guatemala,10428942
Poland,Guinea,39082970
Poland,Guyana,2691416
Poland,Haiti,8577125
